X,Y,OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,TOTAL_STUD,SSL,GIS_ID,WEB_URL,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,LONGITUDE,LATITUDE,SCHOOL_YEA,LEA_NAME,LEA_ID,SCHOOL_NAM,SCHOOL_ID,GRADES,MAR_ID,XCOORD,YCOORD,ZIPCODE,PK3,PK4,UN_CE,FACILITY_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-77.070081517757,38.9529409849191,11,Murch Elementary School,4810 36TH STREET NW,Elementary School,ES,Active,202-282-0130,572,0803,dcps_287,http://www.murchschool.org,287,287,N,,,,,-77.070079,38.952934,2022-2023,District of Columbia Public Schools,1,Murch Elementary School,287,PK4-5th,294602,393925.57,142783.67,20008,,60,,DGS_0638.0,{1A6CEEC4-20AA-4178-AC72-88BF5D90969F},,,JLAY,2022/08/03 14:55:10+00
-77.0752013665178,38.9529042028224,12,Deal Middle School,3815 FORT DRIVE NW,Middle School,MS,Active,202-939-2010,1477, ,dcps_405,http://alicedeal.org/,405,405,N,900,1931,180000,850,-77.07519907,38.95289674,2022-2023,District of Columbia Public Schools,1,Deal Middle School,405,6th-8th,277548,393481.78,142779.94,20016,,,,DGS_0529.0,{02259729-F41D-4301-954D-127B943D35A3},,,JLAY,2022/08/03 14:55:10+00
-77.0322553407865,38.9513748773787,13,John Lewis Elementary School,1338 FARRAGUT STREET NW,Elementary School,ES,Active,202-576-6226,315, ,dcps_336,http://www.westschool.org/,336,336,N,281,1978,69600,450,-77.03225306,38.95136741,2022-2023,District of Columbia Public Schools,1,West Education Campus,336,PK3-8th,294517,397204.26,142607.98,20011,23,35,,DGS_0179.0,{6CEF89A6-F7C9-4BC4-8EE0-1A727DD4397A},,,JLAY,2022/08/03 14:55:10+00
-77.0777774984722,38.9501636048416,14,Jackson-Reed High School (formerly Wilson HS),3950 CHESAPEAKE STREET NW,High School,HS,Active,202-282-0120,1750,,dcps_463,http://www.wilsonhs.org/,463,463,N,1485,1935,271300,1600,-77.0777757,38.95015672,2022-2023,District of Columbia Public Schools,1,Woodrow Wilson High School,463,9th-12th,294587,393258.18,142475.96,20016,,,5,DGS_0551.0,{E9B7FB68-0E5D-419A-A7DF-6BBFAFE6A760},,,JLAY,2022/08/03 14:55:10+00
-77.0177793604952,38.9482384107505,15,Barnard Elementary School,430 DECATUR STREET NW,Elementary School,ES,Active,202-576-1100,649, ,dcps_205,http://www.myschooldc.org/schools/profile/7/,205,205,N,387,2003,,,-77.01777708,38.94823095,2022-2023,District of Columbia Public Schools,1,Barnard Elementary School,205,PK3-5th,248305,398458.99,142259.46,20011,61,85,,DGS_0605.0,{7DBC656E-2B4A-4DED-A3FB-95426CCF0139},,,JLAY,2022/08/03 14:55:10+00
-77.0809971256341,38.9475578809036,16,Janney Elementary School,4130 ALBEMARLE STREET NW,Elementary School,ES,Active,202-282-0110,722, ,dcps_254,http://www.janneyschool.org/,254,254,N,364,1925,98200,550,-77.08099483,38.94755042,2022-2023,District of Columbia Public Schools,1,Janney Elementary School,254,PK4-5th,285713,392978.88,142186.88,20016,,79,,DGS_0580.0,{AD61EFE9-9733-4FDE-8673-A2389164FE50},,,JLAY,2022/08/03 14:55:10+00
-77.0305435214428,38.9447023725982,17,Dorothy I. Height Elementary School,1300 ALLISON STREET NW,Elementary School,ES,Active,202-723-4100,518,,dcps_977,http://www.dorothyheightes.org/,349,,,,,,,-77.030541,38.9447,2022-2023,District of Columbia Public Schools,1,Dorothy I. Height Elementary School,349,PK3-5th,255251,397352.45,141867.84,20011,52,86,,DGS_0775.0,{8FCE8797-2900-4352-8DBB-514ECC746E3E},,,JLAY,2022/08/03 14:55:10+00
-77.0277786912709,38.9436159783387,18,MacFarland Middle School,4400 IOWA AVENUE NW,Middle School,MS,Active,202-671-6033,69,,dcps_973,http://profiles.dcps.dc.gov/MacFarland+Middle+School,420,,,,,,,-77.02777641,38.94360856,2022-2023,District of Columbia Public Schools,1,MacFarland Middle School,420,6th-7th,294595,397592.04,141746.55,20011,,,,DGS_0613.0,{DB738C9F-A3F6-40B6-A624-A10F40A9BCA3},,,JLAY,2022/08/03 14:55:10+00
-77.0292021703324,38.9430400197737,19,Roosevelt High School,4301 13TH STREET NW,High School,HS,Active,202-576-6130,668, ,dcps_459,http://profiles.dcps.dc.gov/Roosevelt+High+School,459,459,N,1055,1932,331900,1100,-77.029197,38.943029,2022-2023,District of Columbia Public Schools,1,Roosevelt High School,459,9th-12th,252605,397468.88,141682.3,20011,,,7,DGS_0610.0,{3A918A83-879A-47F4-AD6C-CB103DE4C52B},,,JLAY,2022/08/03 14:55:10+00
-77.0292021703324,38.9430400197737,20,Roosevelt STAY High School ,4301 13TH STREET NW,Youth Engagement,STAY,Active,202-576-8399,668, ,dcps_913,http://www.rooseveltstay.org/,456,459A,N,,,,,-77.029197,38.943029,2022-2023,District of Columbia Public Schools,1,Roosevelt High School,456,Adult,252605,397468.88,141682.3,20011,,,7,DGS_0610.0,{18490ACF-C83D-425E-AC92-120113D4772D},,,JLAY,2022/08/03 14:55:10+00
-76.9849976287947,38.942020057392,21,Bunker Hill Elementary School,1401 MICHIGAN AVENUE NE,Elementary School,ES,Active,202-576-6095,195, ,dcps_346,http://profiles.dcps.dc.gov/Bunker+Hill+Elementary+School,219,346,N,,,,,-76.98499564,38.94201247,2022-2023,District of Columbia Public Schools,1,Bunker Hill Elementary School,219,PK3-5th,286131,401300.77,141569.11,20017,23,22,,DGS_0301.0,{86669EB0-2546-45C3-9910-C19FF78D345D},,,JLAY,2022/08/03 14:55:10+00
-77.0312297057863,38.9415418043537,22,Powell Elementary School,1350 UPSHUR STREET NW,Elementary School,ES,Active,202-671-6270,534, ,dcps_300,http://www.powellbilingualelementary.com/,300,300,N,304,1925,38500,325,-77.03122742,38.94153434,2022-2023,District of Columbia Public Schools,1,Powell Elementary School,300,PK3-5th,255302,397292.79,141516.39,20011,50,49,,DGS_0287.0,{5373B976-9385-435B-B2E4-EBEE47AB98A8},,,JLAY,2022/08/03 14:55:10+00
-77.0719575161002,38.9407301065624,23,Hearst Elementary School,3950 37TH STREET NW,Elementary School,ES,Active,202-282-0106,312, ,dcps_258,http://www.hearstes.org/,258,258,N,181,1932,17400,325,-77.07195522,38.94072265,2022-2023,District of Columbia Public Schools,1,Hearst Elementary School,258,PK4-5th,294586,393761.89,141428.28,20008,2,43,,DGS_0550.0,{C60018EB-DA2D-479D-ABC2-A24563E6D7C9},,,JLAY,2022/08/03 14:55:10+00
-76.9910617741642,38.9384831305545,24,Brookland Middle School,1150 MICHIGAN AVENUE NE,Middle School,MS,Active,202-576-6095,254, ,dcps_975,https://brooklandms.wordpress.com/,347,975,N,,,,,-76.991059,38.938476,2022-2023,District of Columbia Public Schools,1,Brookland Middle School,347,6th-8th,294507,400775.13,141176.41,20017,,,,DGS_0235.0,{CEAA4184-ABC9-4275-AED8-4ADF9AD6B5B9},,,JLAY,2022/08/03 14:55:10+00
-77.0264349424483,38.935818665273,25,Raymond Elementary School,915 SPRING ROAD NW,Elementary School,ES,Active,202-576-6236,613, ,dcps_302,http://raymondeducationcampus.org/,302,302,N,,,,,-77.02643266,38.93581121,2022-2023,District of Columbia Public Schools,1,Raymond Education Campus,302,PK3-8th,226682,397708.28,140880.94,20010,43,58,,DGS_0788.0,{0AA28C88-05F3-4849-A8AC-1C99316ACD40},,,JLAY,2022/08/03 14:55:10+00
-77.0211879471977,38.9344215557015,26,Bruce-Monroe Elementary School @ Park View,3560 WARDER STREET NW,Elementary School,ES,Active,202-576-6222,473, ,dcps_296,http://www.bmpv.org/,296,296,N,,1916,82200,,-77.02118567,38.9344141,2022-2023,District of Columbia Public Schools,1,Bruce-Monroe Elementary School @ Park View,296,PK3-5th,294583,398163.16,140725.73,20010,42,57,,DGS_0533.0,{55F4DFCC-AACC-466E-9183-0BFEBAA491E6},,,JLAY,2022/08/03 14:55:10+00
-77.04055575384,38.9343258251977,27,Bancroft Elementary School,1755 NEWTON STREET NW,Elementary School,ES,Active,202-673-7280,530,,dcps_204,http://www.bancroftelementary.org,204,,,,,,,-77.040553,38.934318,2022-2023,District of Columbia Public Schools,1,Bancroft Elementary School,204,PK3-5th,294528,396483.93,140715.67,20010,44,58,,DGS_0343.0,{7CA7F80C-9FEA-4130-BE56-6236142AA76B},,,JLAY,2022/08/03 14:55:10+00
-77.0878284954734,38.9342997626067,28,Mann Elementary School,4430 NEWARK STREET NW,Elementary School,ES,Active,202-282-0126,379, ,dcps_273,http://www.horacemanndc.org/,273,273,N,,,,,-77.08782619,38.93429231,2022-2023,District of Columbia Public Schools,1,Mann Elementary School,273,PK4-5th,294597,392385.28,140715.66,20016,,40,,DGS_0616.0,{D64E6656-727F-423E-B8B5-160539897925},,,JLAY,2022/08/03 14:55:10+00
-76.9784586377381,38.9335101217273,29,Burroughs Elementary School,1820 MONROE STREET NE,Elementary School,ES,Active,202-576-6150,290, ,dcps_220,http://www.jbecstem.com/,220,220,Y,474,1980,63900,450,-76.97845637,38.93350266,2022-2023,District of Columbia Public Schools,1,Burroughs Elementary School,220,PK3-5th,294530,401867.9,140624.56,20018,23,44,,DGS_0356.0,{FAC47C58-444A-4D82-8FAD-14871F1D93F4},,,JLAY,2022/08/03 14:55:10+00
-77.0658234329553,38.9327345302458,30,Eaton Elementary School,3301 LOWELL STREET NW,Elementary School,ES,Active,202-282-0103,477, ,dcps_232,http://www.eatondc.org/,232,232,N,418,1911,49100,400,-77.06582114,38.93272707,2022-2023,District of Columbia Public Schools,1,Eaton Elementary School,232,PK4-5th,294562,394293.04,140540.3,20008,,36,,DGS_0507.0,{BB864E97-0D1E-4E48-A0A7-9A1DDAEA7530},,,JLAY,2022/08/03 14:55:10+00
-76.9923185976602,38.9322838419059,31,Luke C. Moore High School,1001 MONROE STREET NE,Youth Engagement,YE,Active,202-281-3600,266, ,dcps_884,http://profiles.dcps.dc.gov/Luke+C.+Moore+High+School,884,884,N,,,,,-76.99231633,38.93227638,2022-2023,District of Columbia Public Schools,1,Luke C. Moore High School,884,9th-12th,294504,400666.21,140488.24,20017,,,,DGS_0205.0,{A1D70718-6D23-480B-B25C-9790D789BF04},,,JLAY,2022/08/03 14:55:10+00
-77.0358605944281,38.9295522271806,32,Columbia Heights Education Campus 6–8 (CHEC),3101 16TH STREET NW,Education Campus,MS,Active,202-939-7700,1336, ,dcps_475,http://www.checdc.org,442,475,N,,,,,-77.03585831,38.92954477,2022-2023,District of Columbia Public Schools,1,Columbia Heights Education Campus,442,6th-12th,234375,396890.8,140185.59,20010,,,4,DGS_0472.0,{F1F86ED8-5E4E-4523-AAF9-0C161CF81999},,,JLAY,2022/08/03 14:55:10+00
-77.0358605944281,38.9295522271806,33,Columbia Heights Education Campus 9–12 (CHEC),3101 16TH STREET NW,Education Campus,HS,Active,202-939-7700,1336, ,dcps_976,http://www.checdc.org,442,475,N,,,,,-77.03585831,38.92954477,2022-2023,District of Columbia Public Schools,1,Columbia Heights Education Campus,442,6th-12th,234375,396890.8,140185.59,20010,,,4,DGS_0472.0,{9F7D0A64-7D7C-4C5A-93A3-DC26638005AE},,,JLAY,2022/08/03 14:55:10+00
-77.0294455807921,38.9292060284833,34,Tubman Elementary School,3101 13TH STREET NW,Elementary School,ES,Active,202-673-7285,542, ,dcps_328,http://profiles.dcps.dc.gov/tubman,328,328,N,607,1970,66600,450,-77.0294433,38.92919857,2022-2023,District of Columbia Public Schools,1,Tubman Elementary School,328,PK3-5th,294555,397447.02,140146.96,20010,39,34,,DGS_0471.0,{C7F9D178-A402-4A20-8D96-8804AF645C8E},,,JLAY,2022/08/03 14:55:10+00
-77.1005296227178,38.9268092935177,35,Key Elementary School,5001 DANA PLACE NW,Elementary School,ES,Active,202-729-3280,397, ,dcps_272,http://keyschooldc.org/dcps/,272,272,N,,1929,,,-77.10052732,38.92680184,2022-2023,District of Columbia Public Schools,1,Key Elementary School,272,PK4-5th,294605,391283.15,139885.29,20016,,41,,DGS_0653.0,{271ACEB2-78F4-4C90-8C74-F1A8400F1767},,,JLAY,2022/08/03 14:55:10+00
-76.9918451552813,38.9251854394973,36,Noyes Elementary School,2725 10TH STREET NE,Elementary School,ES,Active,202-281-2580,197, ,dcps_290,http://profiles.dcps.dc.gov/Noyes+Elementary+School,290,290,N,,,,,-76.99184288,38.92517798,2022-2023,District of Columbia Public Schools,1,Noyes Elementary School,290,PK3-5th,289594,400707.33,139700.26,20018,18,17,,DGS_0444.0,{E289F443-CF84-4A49-8E17-6BD94D9A4AC2},,,JLAY,2022/08/03 14:55:10+00
-76.9770841211669,38.9247116217499,37,Langdon Elementary School,1900 EVARTS STREET NE,Elementary School,ES,Active,202-576-6048,323, ,dcps_262,http://profiles.dcps.dc.gov/Langdon+Elementary+School,262,262,N,528,1930,101400,450,-76.97708185,38.92470416,2022-2023,District of Columbia Public Schools,1,Langdon Elementary School,262,PK3-5th,294532,401987.32,139647.88,20018,35,38,,DGS_0786.0,{C1710B59-8F1A-40DE-B0BF-FD581C9BDEE3},,,JLAY,2022/08/03 14:55:10+00
-77.0388128697178,38.9239505430781,38,H.D. Cooke Elementary School,2525 17TH STREET NW,Elementary School,ES,Active,202-939-5390,420, ,dcps_227,http://www.hdcookeschool.org/,227,227,N,,,,,-77.03881058,38.92394309,2022-2023,District of Columbia Public Schools,1,H.D. Cooke Elementary School,227,PK3-5th,235863,396634.55,139563.86,20009,25,54,,DGS_0430.0,{63EC1F2E-6024-46B0-BF15-4DF858F198E6},,,JLAY,2022/08/03 14:55:10+00
-77.0251232747312,38.912155806699,39,Benjamin Banneker High School,1600 9TH STREET NW,High School/Specialized,HS,Active,202-671-6320,482, ,dcps_402,http://www.benjaminbanneker.org/,402,402,N,620,1939,180000,500,-77.025121,38.912148,2022-2023,District of Columbia Public Schools,1,Benjamin Banneker High School,402,9th-12th,334680,397821.28,138254.13,20001,,,,DGS_0737.0,{496D3ECE-74C5-473E-A5CD-28F5340B2F27},,,JLAY,2022/08/03 14:55:10+00
-77.0572056640618,38.9236032828692,40,Oyster-Adams Bilingual School (Oyster),2801 CALVERT STREET NW,Elementary School,ES,Active,202-671-6130,674, ,dcps_292,http://oysteradamsbilingual.org/,292,292,N,,,,,-77.05720337,38.92359583,2022-2023,District of Columbia Public Schools,1,Oyster-Adams Bilingual School,292,PK4-3rd,275944,395039.6,139526.15,20008,6,34,,DGS_0446.0,{846BE86E-65BC-40DE-AB8A-296C8CF9F47C},,,JLAY,2022/08/03 14:55:10+00
-77.0790760942629,38.9230521025976,41,Stoddert Elementary School,4001 CALVERT STREET NW,Elementary School,ES,Active,202-671-6030,435, ,dcps_321,http://www.stoddert.org,321,321,N,213,1932,17400,325,-77.0790738,38.92304465,2022-2023,District of Columbia Public Schools,1,Stoddert Elementary School,321,PK4-5th,224730,393143.05,139466.38,20007,,20,,DGS_0578.0,{7F75C7B2-E813-46A0-A21E-10AA02B0DE9A},,,JLAY,2022/08/03 14:55:10+00
-77.0284730757523,38.9221799883401,42,Cardozo Education Campus,1200 CLIFTON STREET NW,Middle School/High School,HS,Active,202-673-7385,797, ,dcps_454,http://www.cardozohs.com/,454,454,N,1565,1926,355400,1100,-77.02847069,38.92217286,2022-2023,District of Columbia Public Schools,1,Cardozo Education Campus,454,6th-12th,294513,397531.11,139367.02,20009,,,20,DGS_0178.0,{F41E721C-83CC-4834-A31B-5BBC9B1C77A2},,,JLAY,2022/08/03 14:55:10+00
-77.0408175346784,38.9191144700188,43,Marie Reed Elementary School,2201 18TH STREET NW,Elementary School,ES,Active,202-673-7308,398, ,dcps_284,http://mariereedes.org/,284,284,N,,,,,-77.040822,38.919112,2022-2023,District of Columbia Public Schools,1,Marie Reed Elementary School,284,PK3-5th,310614,396459.87,139027.66,20009,46,54,,DGS_0396.2,{E365174C-5AE2-4E24-98BC-EE43F51D3DFA},,,JLAY,2022/08/03 14:55:10+00
-77.025750688452,38.9175525644243,44,Shaw Middle School,2001 10TH STREET NW,Middle School,MS,Not Open,202-673-7329,,,dcps_971,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,0,,,,,,,-77.02574879,38.91754511,2022-2023,District of Columbia Public Schools,1,Shaw Middle School,0, ,294533,397767,138853.23,20001,,,,N/A,{95207105-F46A-48E7-83F3-A6B98917381E},,,JLAY,2022/08/03 14:55:10+00
-77.0443795373944,38.9173169912349,45,Oyster-Adams Bilingual School (Adams),2020 19TH STREET NW,Middle School,MS,Active,202-673-7311,674, ,dcps_949,http://oysteradamsbilingual.org/,201,292,N,,,,,-77.04437725,38.91730954,2022-2023,"District of Columbia Public Schools
",1,Oyster-Adams Bilingual School,201,4th-8th,294534,396151.48,138827.7,20009,6,34,,DGS_0380.0,{82297D97-48C0-493B-AB34-7F215A103DA6},,,JLAY,2022/08/03 14:55:10+00
-77.0686161905959,38.9155164871839,46,Fillmore Arts Center (West),1819 35TH STREET NW,Specialized School,AC,Active,202-729-3796,374, ,dcps_923,http://www.fillmoreartscenter.org/,0,0,N,,,,,-77.0686139,38.91550903,2022-2023,District of Columbia Public Schools,1,Hardy Middle School,0,6th-8th,274432,394049.46,138629.13,20007,,,,N/A,{A5107DAE-7D00-48D5-8964-62773F554118},,,JLAY,2022/08/03 14:55:10+00
-77.0686161905959,38.9155164871839,47,Hardy Middle School,1819 35TH STREET NW,Middle School,MS,Active,202-729-4350,374, ,dcps_246,http://www.hardyms.org,246,246,Y,,,,,-77.0686139,38.91550903,2022-2023,District of Columbia Public Schools,1,Hardy Middle School,246,6th-8th,274432,394049.46,138629.13,20007,,,,DGS_0355.0,{DB06915D-9181-4503-8FE1-974CA41C27A6},,,JLAY,2022/08/03 14:55:10+00
-77.0041247132797,38.9152275759532,48,McKinley Technology High School,151 T STREET NE,High School/Specialized,HS,Active,202-281-3950,213, ,dcps_458,http://mckinleytech.org/,458,458,N,,,,,-77.00412244,38.91522012,2022-2023,District of Columbia Public Schools,1,McKinley Technology High School,458,9th-12th,296345,399642.48,138594.83,20002,,,,DGS_0283.0,{78BA953E-AB8F-4EEC-BFBB-FFE937AE72C7},,,JLAY,2022/08/03 14:55:10+00
-77.0048844675793,38.9152178897153,49,McKinley Middle School,151 T STREET NE,Middle School,MS,Active,202-281-3950,213, ,dcps_970,http://profiles.dcps.dc.gov/McKinley+Middle+School,435,458,N,,,,,-77.00412244,38.91522012,2022-2023,District of Columbia Public Schools,1,McKinley Middle School,435,6th-8th,296345,399642.48,138594.83,20002,,,,DGS_0283.0,{C4142AFB-848F-4B83-9A54-EEF2100028D0},,,JLAY,2022/08/03 14:55:10+00
-77.0058926695347,38.915170351259,50,Langley Elementary School,101 T STREET NE,Elementary School,ES,Active,202-576-6034,284, ,dcps_965,http://www.langleyelementary.org/,370,0,N,,,,,-77.00588662,38.91516879,2022-2023,District of Columbia Public Schools,1,Langley Elementary School,370,PK3-5th,285757,399489.48,138589.14,20002,23,38,,DGS_0210.0,{60983B6D-FE7F-4D89-8053-F4DD87DA0EEF},,,JLAY,2022/08/03 14:55:10+00
-77.0227094560451,38.9151527443805,51,Cleveland Elementary School,1825 8TH STREET NW,Elementary School,ES,Active,202-939-4380,321, ,dcps_224,http://clevelandesdc.org/,224,224,N,,1911,54427,276,-77.02270718,38.91514529,2022-2023,District of Columbia Public Schools,1,Cleveland Elementary School,224,PK3-5th,294531,398030.71,138586.76,20001,38,37,,DGS_0357.0,{4836AAAF-AE44-44EA-A2C4-35C474536B3C},,,JLAY,2022/08/03 14:55:10+00
-77.0286148379241,38.9139087472585,52,Garrison Elementary School,1200 S STREET NW,Elementary School,ES,Active,202-673-7263,253, ,dcps_239,http://www.garrisonelementary.org/,239,239,N,474,1964,60200,325,-77.02861256,38.91390129,2022-2023,District of Columbia Public Schools,1,Garrison Elementary School,239,PK3-5th,294509,397518.52,138448.81,20009,44,44,,DGS_0242.0,{8D974A09-9739-4281-8B73-971E39059655},,,JLAY,2022/08/03 14:55:10+00
-77.0703098743125,38.9134538317844,53,Duke Ellington School of the Arts,3500 R STREET NW,High School/Specialized,HS,Active,202-282-0123,537, ,dcps_471,http://www.ellingtonschool.org,471,471,N,500,1898,167500,700,-77.070308,38.913446,2022-2023,District of Columbia Public Schools,1,Duke Ellington School of the Arts,471,9th-12th,242979,393902.4,138400.27,20007,,,,DGS_0526.0,{A65AEB94-61B2-4566-9F63-6B25109B3070},,,JLAY,2022/08/03 14:55:10+00
-77.0396644298109,38.912398603598,54,Ross Elementary School,1730 R STREET NW,Elementary School,ES,Active,202-673-7200,171, ,dcps_305,http://www.rosselementary.org/,305,305,N,,,,,-77.03966214,38.91239115,2022-2023,District of Columbia Public Schools,1,Ross Elementary School,305,PK3-5th,241714,396560.15,138281.53,20009,14,20,,DGS_0340.0,{A9DCADC8-819F-4D1C-814D-EA795DDD8342},,,JLAY,2022/08/03 14:55:10+00
-76.988588107557,38.9121470509132,55,Youth Services Center,1000 MOUNT OLIVET ROAD NE,Youth Engagement,YE,Active,202-576-8388,88, ,dcps_948,http://profiles.dcps.dc.gov/Youth+Services+Center,861, ,N,90,2004,,,-76.98858584,38.91213959,2022-2023,District of Columbia Public Schools,1,Youth Services Center,861,Alternative,290013,400989.94,138252.92,20002,,,1,N/A,{10928739-F54F-46D5-9084-05585905E4D6},,,JLAY,2022/08/03 14:55:10+00
-77.024884746941,38.9106261511799,56,Seaton Elementary School,1503 10TH STREET NW,Elementary School,ES,Active,202-673-7215,341, ,dcps_309,http://seatondc.org/,309,309,N,428,1969,65000,325,-77.02488247,38.9106187,2022-2023,District of Columbia Public Schools,1,Seaton Elementary School,309,PK3-5th,279203,397841.92,138084.32,20001,42,55,,DGS_0177.0,{ACE5DDF1-36E4-4668-A633-4943B9AB9DC8},,,JLAY,2022/08/03 14:55:10+00
-77.0645401573867,38.9080270930018,57,Hyde-Addison Elementary School,3219 O STREET NW,Elementary School,ES,Active,202-282-0170,329,   0830,dcps_252,http://profiles.dcps.dc.gov/Hyde-Addison+Elementary+School,252,,,,,,,-77.064538,38.90802,2022-2023,District of Columbia Public Schools,1,Hyde-Addison Elementary School,252,PK3-5th,294558,394402.37,137797.48,20007,16,40,,DGS_0427.0,{AE1555D6-9EC3-4F1E-B2CE-3106DB093587},,,JLAY,2022/08/03 14:55:10+00
